n,activiteitnaam,type,bewindspersoon,subtitel,datum
1,Stuurgroep Schone Lucht Akkoord,"
  Bestuurlijk overleg ", Vivianne Heijnen,NA,24-03-2022
2,Gesprek met Oostenrijke staatssecretaris jeugd,"
  Gesprek ", Maarten van Ooijen,"Staatsecretaris Van Ooijen spreekt met Claudia Plakolm, staatssecretaris jeugd van Oostenrijk.
",24-03-2022
3,Kennismaking konijnenhouderij,"
  Gesprek ", Henk Staghouwer,NA,24-03-2022
4,Kennismaking met Belgische minister Mobiliteit,"
  Gesprek ", Vivianne Heijnen,NA,24-03-2022
5,Commissiedebat Belastingdienst,"
  Kamervergadering ", Marnix van Rij,NA,24-03-2022
6,Bestuurlijke Startbijeenkomst Regie op de Woningbouw met IPO en VNG,"
  Bestuurlijk overleg ", Hugo de Jonge,"Minister De Jonge neemt deel aan de Bestuurlijke Startbijeenkomst Regie op de Woningbouw met IPO en VNG uitvoering programma ...
",24-03-2022
7,Afsluiten programma Niet Actief Beveiligde Overweg (NABO),"
  Evenement ", Vivianne Heijnen,"Staatssecretaris Heijnen is aanwezig bij de opening van de R. J. Cammocktunnel. De tunnel, die een niet actief beveiligde overweg ...
",24-03-2022
8,Periodiek overleg minister IenW,"
  Gesprek ", Christophe van der Maat,"Staatssecretaris Van der Maat (Defensie) heeft een periodiek overleg met minister Harbers (IenW).
",24-03-2022
9,Bestuurlijk overleg Hybride en NIP met Aedes en VNG,"
  Bestuurlijk overleg ", Hugo de Jonge,"Minister De Jonge heeft een bestuurlijk overleg met Aedes en VNG over Hybride en Nationaal Isolatieprogramma.
",24-03-2022
10,Plenaire behandeling wetsvoorstel Wet wettelijke taken internationalisering onderwijs,"
  Kamervergadering ", Robbert Dijkgraaf,NA,24-03-2022
11,Diverse gesprekken,"
  Gesprek ", Hugo de Jonge,"Minister De Jonge heeft diverse gesprekken: een kennismakingsgesprek met Cody Hochstenbach, Stadsgeograaf aan de Universiteit van ...
",24-03-2022
12,Themadag Granen,"
  Werkbezoek ", Henk Staghouwer,NA,24-03-2022
13,Opening vernieuwd station Geldermalsen,"
  Evenement ", Vivianne Heijnen,NA,24-03-2022
14,Werkbezoek aan Defensie CBRN Centrum,"
  Werkbezoek ", Christophe van der Maat,"Staatssecretaris Van der Maat (Defensie) brengt een werkbezoek aan het Defensie CBRN Centrum.
",24-03-2022
15,Commissiedebat Humanitaire situatie Oekraïne,"
  Kamervergadering ", Liesje Schreinemacher,"Minister Schreinemacher neemt in de Tweede Kamer deel aan het commissiedebat over de humanitaire situatie in Oekraïne.
",24-03-2022
16,Extra NAVO top,"
  Internationale bijeenkomst "," Mark Rutte, Wopke Hoekstra, Kajsa Ollongren","Minister-president Rutte, mister Hoekstra en minister Ollongren zijn aanwezig bij de extra NAVO top vanwege de oorlog in Oekraïne.
",24-03-2022
17,Landbouw en de ritmiek en taakstelling van de horizontale en provinciale arrangementen met mede-overheden,"
  Gesprek ", Henk Staghouwer,NA,24-03-2022
18,Debat over het rapport van de Tijdelijke Uitvoeringsorganisaties 'Klem tussen balie en beleid',"
  Kamervergadering ", Alexandra van Huffelen,NA,24-03-2022
19,Kennismaking met DNB,"
  Gesprek ", Marnix van Rij,"Staatssecretaris Van Rij maakt kennis met de president van De Nederlandsche Bank, Klaas Knot.
",24-03-2022
20,"Bestuurlijk overleg langetermijnstrategie corona, met sociale partners","
  Bestuurlijk overleg "," Micky Adriaansens, Ernst Kuipers","Minister Kuipers en minister Adriaansens spreken de minister van SZW en sociale partners over de langetermijnstrategie.
",24-03-2022
21,Overleg met de G4 gemeenten,"
  Bestuurlijk overleg ", Dennis Wiersma,"Overleg met de wethouders en directeuren Onderwijs van de G4 gemeenten over de onderwerpen kansengelijkheid, voorscholen, ...
",24-03-2022
22,Bewindspersonenoverleg hoger onderwijs en wetenschap,"
  Gesprek ", Robbert Dijkgraaf,"Minister Dijkgraaf spreekt met minister Harbers en minister Kuipers over een concept van de hoofdlijnenbrief hoger onderwijs en ...
",24-03-2022
23,Commissiedebat Verloop SDE++,"
  Kamervergadering ", Rob Jetten,NA,24-03-2022
24,Overleg met voorzitter Uitvoeringsoverleg Elektriciteit,"
  Gesprek ", Rob Jetten,NA,24-03-2022
25,Regulier gesprek met president van De Nederlandsche Bank,"
  Gesprek ", Sigrid Kaag,NA,24-03-2022
26,Commissiedebat leefstijlpreventie,"
  Kamervergadering ", Maarten van Ooijen,NA,24-03-2022
27,Gesprek met Poolse minister van infrastructuur,"
  Gesprek ", Mark Harbers,"Minister Harbers spreekt met Poolse minister Adamczyk over de situatie Oekraïne.
",24-03-2022
28,Gesprek met cliënten die gebruik maken van het PGB2.0-portaal,"
  Gesprek ", Conny Helder,NA,24-03-2022
29,Werkbezoek Boerderij van de toekomst,"
  Werkbezoek ", Henk Staghouwer,NA,24-03-2022
30,Bouwberaad,"
  Bestuurlijk overleg ", Hugo de Jonge,"Minister De Jonge neemt deel aan het Bouwberaad over de Nationale Woon- en Bouwagenda en Human Capital.
",24-03-2022
31,Werkbezoek Slimme Zorg Estafette,"
  Werkbezoek ", Ernst Kuipers,"Minister Kuipers bezoekt het Antonius Ziekenhuis in het kader van de Slimme Zorg Estafette.
",24-03-2022
32,Kennismaking met toerismesector,"
  Gesprek ", Micky Adriaansens,NA,24-03-2022
33,Werkbezoek aan Logius,"
  Werkbezoek ", Alexandra van Huffelen,"Staatssecretaris Van Huffelen brengt een werkbezoek aan Logius in het kader van dienstverlening aan publieke organisaties zodat ...
",24-03-2022
34,Kennismaking met co-founder ONL voor ondernemers,"
  Gesprek ", Micky Adriaansens,NA,24-03-2022
35,Kennismaking met lid EP Azmani,"
  Gesprek ", Christophe van der Maat,"Staatssecretaris Van der Maat (Defensie) heeft een kennismaking met de heer Azmani, lid van het Europees Parlement (EP).
",24-03-2022
36,Lustrumsymposium Wetenschappelijke Raad voor het Regeringsbeleid,"
  Evenement ", Robbert Dijkgraaf,"Minister Dijkgraaf woont het lustrumsymposium van de WRR bij.
",24-03-2022
37,Kennismaking met Royal IHC,"
  Gesprek ", Marnix van Rij,NA,24-03-2022
38,Europese Raad,"
  Internationale bijeenkomst ", Mark Rutte,NA,24-03-2022
40,Kennismaken met voorzitter Sociaal-Economische Raad (SER),"
  Gesprek ", Micky Adriaansens,NA,24-03-2022
41,Tweeminutendebat EU-Gezondheidsraad,"
  Kamervergadering ", Ernst Kuipers,NA,24-03-2022
42,Kennismakingsgesprek journalisten Nieuwsuur,"
  Gesprek ", Mark Harbers,NA,24-03-2022
43,Inontvangstname Cluster Energie Strategie van het 6e industriecluster,"
  Gesprek ", Rob Jetten,"In aanwezigheid van de CEO Sappi Maastricht, directeur Koninklijke VNP, CEO Royal Cosun en directeur Federatie Nederlandse ...
",24-03-2022
44,Handelsmissie Oman en de Verenigde Arabische Emiraten,"
  Handelsmissie ", Liesje Schreinemacher,"Minister Schreinemacher brengt een bezoek aan Oman en de Verenigde Arabische Emiraten in het kader van de Dubai Expo 2020 en de ...
",23-03-2022
45,Kennismaking president Algemene Rekenkamer,"
  Gesprek ", Christophe van der Maat,"Staatssecretaris Van der Maat (Defensie) heeft een kennismaking met de president van de Algemene Rekenkamer.
",23-03-2022
46,Kennismaking voorzitter Tweede Kamer,"
  Gesprek "," Robbert Dijkgraaf, Dennis Wiersma, Gunay Uslu","Minister Dijkgraaf maakt kennis met de voorzitter van de Tweede Kamer samen met minister Wiersma en staatssecretaris Uslu.
",23-03-2022
47,Bestuurlijk overleg Vleeskalverketen,"
  Bestuurlijk overleg ", Henk Staghouwer,NA,23-03-2022
48,Commissiedebat Regeldruk,"
  Kamervergadering ", Micky Adriaansens,NA,23-03-2022
49,Werkbezoek aan een huisvestingsproject rondom Oekraïne,"
  Werkbezoek ", Hugo de Jonge,"Minister De Jonge brengt een werkbezoek aan een huisvestingsproject rondom Oekraïne.
",23-03-2022
50,Gesprek met minister-president van Sint Maarten,"
  Gesprek ", Wopke Hoekstra,"Minister Hoekstra spreekt met Silveria Jacobs, minister-president van Sint Maarten.
",23-03-2022
51,Kennismaking met Nationaal Rapporteur Mensenhandel,"
  Ontvangst ", Maarten van Ooijen,"Minister Weerwind en staatssecretaris Van Ooijen spreken met de Nationaal Rapporteur mensenhandel.
",23-03-2022
52,"Kennismaking met minister van Financiën Zweden, Mikael Damberg","
  Gesprek ", Sigrid Kaag,"Minister Kaag maakt kennis met de Zweedse minister van Financiën en spreekt over de economische gevolgen van de situatie in ...
",23-03-2022
53,Inontvangstname boek VerpleegThuis,"
  Gesprek ", Mark Rutte,NA,23-03-2022
54,Kennismaking met Onderwijsraad en inontvangstname advies ‘Extern Toezicht’,"
  Gesprek ", Dennis Wiersma,"Minister Wiersma heeft een kennismakingsgesprek en neemt het advies ‘Extern Toezicht’ in ontvangst. Voorafgaand heeft de minister ...
",23-03-2022
55,Ontvangst minister-president van Curaçao,"
  Gesprek ", Mark Rutte,NA,23-03-2022
56,Verzamel commissiedebat BES,"
  Kamervergadering ", Alexandra van Huffelen,NA,23-03-2022
57,Gesprek met Tweede Kamerleden Bontenbal en Pieter Grinwis,"
  Gesprek ", Hugo de Jonge,"Minister De Jonge heeft een gesprek met Tweede Kamerleden Bontenbal en Pieter Grinwis over het Nationaal Isolatieprogramma.
",23-03-2022
58,Onderraden en ministeriële overleggen,"
  Ministerraad, onderraad, ministerieel overleg "," Mark Rutte, Wopke Hoekstra, Robbert Dijkgraaf, Henk Staghouwer, Ernst Kuipers, Rob Jetten, Alexandra van Huffelen, Christophe van der Maat",NA,23-03-2022
59,Gesprek met Eerste Minister België,"
  Gesprek ", Mark Rutte,"Minister-president Rutte heeft een gesprek met Eerste Minister De Croo van België. 
",23-03-2022
60,Tweeminutendebat Hoofdlijnen,"
  Kamervergadering ", Micky Adriaansens,NA,23-03-2022
61,Kennismaking met NZA,"
  Gesprek ", Maarten van Ooijen,"Staatssecretaris Van Ooijen maakt kennis met de voorzitter van de Nederlandse Zorgautoriteit.
",23-03-2022
62,Kennismaking Onderwijsraad,"
  Gesprek "," Robbert Dijkgraaf, Dennis Wiersma, Gunay Uslu","Minister Dijkgraaf maakt kennis met de voorzitter en secretaris van de Onderwijsraad samen met minister Wiersma en ...
",23-03-2022
