person,role,ministry,start_date,end_date
Mark Rutte,Minister,Algemene Zaken,18-01-2022,Present
Wopke Hoekstra,Minister,Buitenlandse Zaken,18-01-2022,Present
Liesje Schreinemacher,Minister,Buitenlandse Handel en Ontwikkelingssamenwerking,18-01-2022,Present
Dilan Yesilgöz-Zegerius,Minister,Justitie en Veiligheid,18-01-2022,Present
Eric van der Burg,Staatssecretaris,Justitie en Veiligheid,18-01-2022,Present
Franc Weerwind,Minister,Rechtsbescherming,18-01-2022,Present
Hanke Bruins Slot,Minister,Binnenlandse Zaken en Koninkrijksrelaties,18-01-2022,Present
Alexandra van Huffelen,Staatssecretaris,Binnenlandse Zaken en Koninkrijksrelaties,18-01-2022,Present
Hugo de Jonge,Minister,Volkshuisvesting en Ruimtelijke Ordening,18-01-2022,Present
Robert Dijkgraaf,Minister,"Onderwijs, Cultuur en Wetenschap",18-01-2022,Present
Gunay Uslu,Staatssecretaris,"Onderwijs, Cultuur en Wetenschap",18-01-2022,Present
Dennis Wiersma,Minister,Basis en Voortgezet Onderwijs en Media,18-01-2022,Present
Sigrid Kaag,Minister,Financiën,18-01-2022,Present
Aukje de Vries,Staatssecretaris,Financiën,18-01-2022,Present
Marnix van Rij,Staatssecretaris,Financiën,18-01-2022,Present
Kajsa Ollongren,Minister,Defensie,18-01-2022,Present
Christophe van der Maat,Staatssecretaris,Defensie,18-01-2022,Present
Mark Harbers,Minister,Infrastructuur en Waterstaat,18-01-2022,Present
Vivianne Heijnen,Staatssecretaris,Infrastructuur en Waterstaat,18-01-2022,Present
Rob Jetten,Minister,Klimaat en Energie,18-01-2022,Present
Micky Adriaansens,Minister,Economische Zaken en Klimaat,18-01-2022,Present
Hans Vijlbrief,Staatssecretaris,Economische Zaken en Klimaat,18-01-2022,Present
Henk Staghouwer,Minister,"Landbouw, Natuur en Voedselkwaliteit",18-01-2022,Present
Christianne van der Wal-Zeggelink,Minister,Natuur en Stikstof,18-01-2022,Present
Karien van Gennip,Minister,Sociale Zaken en Werkgelegenheid,18-01-2022,Present
Carola Schouten,Minister,"Armoedebestrijding, Participatie en Pensioenen",18-01-2022,Present
Ernst Kuipers,Minister,"Volksgezondheid, Welzijn en Sport",18-01-2022,Present
Maarten van Ooijen,Staatssecretaris,"Volksgezondheid, Welzijn en Sport",18-01-2022,Present
Conny Helder,Minister,Langdurige Zorg en Sport,18-01-2022,Present
