activiteitnaam,bewindspersoon,datum,locatie,subtitel,type,url
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2017-11-03,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2017/11/03/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Wopke Hoekstra",2017-11-10,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2017/11/10/ministerraad
Ministerraad,"Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2017-11-17,Den Haag,Viceminister-president De Jonge heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2017/11/17/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2017-11-24,"Binnenhof, Den Haag",Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2017/11/24/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2017-12-01,"Binnenhof, Den Haag",Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2017/12/01/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Wopke Hoekstra, Mark Harbers,",2017-12-08,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2017/12/08/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Wopke Hoekstra, Mark Harbers",2017-12-15,Den Haag,Viceminister-president De Jonge heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2017/12/15/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2017-12-22,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2017/12/22/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2018-01-12,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2018/01/12/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2018-03-16,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2018/03/16/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Wopke Hoekstra",2018-04-20,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2018/04/20/ministerraad
EU Gezondheidsraad EPSCO,,2018-04-22,Sofia (Bulgarije),,NA,/actueel/agenda/2018/04/22/eu-gezondheidsraad-epsco
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra, Mark Harbers,",2018-05-18,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2018/05/18/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Carola Schouten, Sigrid Kaag, Mark Harbers",2018-07-13,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2018/07/13/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Mark Harbers",2018-08-17,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2018/08/17/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Wopke Hoekstra, Mark Harbers",2019-04-18,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/04/18/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra, Mark Harbers",2019-04-26,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/04/26/ministerraad
Ministerraad,"Mark Rutte, Sigrid Kaag, Wopke Hoekstra",2019-05-10,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/05/10/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2019-05-24,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/05/24/ministerraad
Ministerraad,"Mark Rutte, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2019-05-29,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/05/29/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Carola Schouten, Sigrid Kaag",2019-06-07,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/06/07/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Carola Schouten",2019-06-14,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/06/14/ministerraad
Ministerraad,"Hugo de Jonge, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2019-06-21,Den Haag,Viceminister-president De Jonge heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/06/21/ministerraad
Ministerraad,"Hugo de Jonge, Kajsa Ollongren",2019-06-28,Den Haag,Viceminister-president De Jonge heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/06/28/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2019-07-05,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/07/05/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2019-07-12,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/07/12/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2019-08-16,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/08/16/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2019-08-30,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/08/30/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Sigrid Kaag, Wopke Hoekstra",2019-09-06,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/09/06/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2019-09-13,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/09/13/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2019-09-20,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/09/20/ministerrraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2019-09-27,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/09/27/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2019-10-04,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/10/04/ministerraad
Ministerraad,"Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2019-10-18,Den Haag,Viceminister-president Schouten heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/10/18/ministerraad
High-level-kick-off-bijeenkomst 'IMVO-maatregelen in perspectief',,2019-10-30,,"Tijdens de kick-off bijeenkomst op 30 oktober 2019 sprak het ministerie van BZ met bedrijven, maatschappelijke organisaties en ...",NA,/actueel/agenda/2019/10/30/high-level-kick-off-bijeenkomst-imvo-maatregelen-in-perspectief
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2019-11-01,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/11/01/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Carola Schouten",2019-11-08,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/11/08/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2019-11-15,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/11/15/ministerraad
Brede stakeholdersbijeenkomst Internationaal Maatschappelijk Verantwoord Ondernemen,,2019-11-19,,Bijeenkomst voor relevante stakeholders op het gebied van Internationaal Maatschappelijk Verantwoord Ondernemen (IMVO). Dit was 1 ...,NA,/actueel/agenda/2019/11/19/brede-stakeholdersbijeenkomst-internationaal-maatschappelijk-verantwoord-ondernemen
Ministerraad,"Mark Rutte, Hugo de Jonge, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2019-11-22,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/11/22/ministerraad
Ministerraad,"Mark Rutte, Hugo de Jonge, Carola Schouten, Sigrid Kaag, Wopke Hoekstra",2019-11-29,Den Haag,Minister-president Rutte heeft na afloop van de ministerraad een persconferentie gegeven. De video toont de inleidende verklaring ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2019/11/29/ministerraad
